"Statistic Label","CensusYear","Principal Economic Status","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Technical/vocational","Number","12159"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Advanced certificate/completed apprenticeship","Number","7841"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Higher certificate","Number","4176"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Ordinary bachelor degree/professional qualification or both","Number","5044"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Honours bachelor degree/professional qualification or both","Number","5673"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Postgraduate diploma or degree","Number","3618"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Doctorate (Ph.D.)","Number","346"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Not stated","Number","10364"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Male","Economic status - other","Number","17566"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Total education ceased and not ceased","Number","112509"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","No formal education","Number","2356"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Primary","Number","10037"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Lower secondary","Number","18488"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Upper secondary","Number","22352"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Technical/vocational","Number","12026"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Advanced certificate/completed apprenticeship","Number","4068"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Higher certificate","Number","4343"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Ordinary bachelor degree/professional qualification or both","Number","5139"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Honours bachelor degree/professional qualification or both","Number","5714"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Postgraduate diploma or degree","Number","4370"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Doctorate (Ph.D.)","Number","310"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Not stated","Number","6410"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unemployed having lost or given up previous job","Female","Economic status - other","Number","16896"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Total education ceased and not ceased","Number","427128"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","No formal education","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Primary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Not stated","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Economic status - total at school, university, etc.","Number","427128"
"Population Aged 15 Years and Over","2016","Student or pupil","Both sexes","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Total education ceased and not ceased","Number","211054"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","No formal education","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Primary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Not stated","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Economic status - total at school, university, etc.","Number","211054"
"Population Aged 15 Years and Over","2016","Student or pupil","Male","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Total education ceased and not ceased","Number","216074"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","No formal education","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Primary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Not stated","Number","0"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Economic status - total at school, university, etc.","Number","216074"
"Population Aged 15 Years and Over","2016","Student or pupil","Female","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Total education ceased and not ceased","Number","305556"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","No formal education","Number","5424"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Primary","Number","45670"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Lower secondary","Number","60719"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Upper secondary","Number","66884"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Technical/vocational","Number","27475"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Advanced certificate/completed apprenticeship","Number","10266"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Higher certificate","Number","11030"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","14955"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Honours bachelor degree/professional qualification or both","Number","13836"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Postgraduate diploma or degree","Number","10521"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Doctorate (Ph.D.)","Number","678"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Not stated","Number","20279"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Looking after home/family","Both sexes","Economic status - other","Number","17819"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Total education ceased and not ceased","Number","20747"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","No formal education","Number","486"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Primary","Number","2747"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Lower secondary","Number","4456"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Upper secondary","Number","3527"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Technical/vocational","Number","1741"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Advanced certificate/completed apprenticeship","Number","1409"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Higher certificate","Number","750"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Ordinary bachelor degree/professional qualification or both","Number","1053"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Honours bachelor degree/professional qualification or both","Number","935"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Postgraduate diploma or degree","Number","708"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Doctorate (Ph.D.)","Number","66"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Not stated","Number","846"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Looking after home/family","Male","Economic status - other","Number","2023"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Total education ceased and not ceased","Number","284809"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","No formal education","Number","4938"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Primary","Number","42923"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Lower secondary","Number","56263"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Upper secondary","Number","63357"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Technical/vocational","Number","25734"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Advanced certificate/completed apprenticeship","Number","8857"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Higher certificate","Number","10280"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Ordinary bachelor degree/professional qualification or both","Number","13902"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Honours bachelor degree/professional qualification or both","Number","12901"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Postgraduate diploma or degree","Number","9813"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Doctorate (Ph.D.)","Number","612"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Not stated","Number","19433"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Looking after home/family","Female","Economic status - other","Number","15796"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Total education ceased and not ceased","Number","545407"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","No formal education","Number","16807"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Primary","Number","155577"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Lower secondary","Number","85292"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Upper secondary","Number","82056"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Technical/vocational","Number","33096"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Advanced certificate/completed apprenticeship","Number","15194"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Higher certificate","Number","15843"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","34360"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Honours bachelor degree/professional qualification or both","Number","21471"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Postgraduate diploma or degree","Number","23726"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Doctorate (Ph.D.)","Number","3660"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Not stated","Number","49434"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Retired","Both sexes","Economic status - other","Number","8891"
"Population Aged 15 Years and Over","2016","Retired","Male","Total education ceased and not ceased","Number","275236"
"Population Aged 15 Years and Over","2016","Retired","Male","No formal education","Number","9443"
"Population Aged 15 Years and Over","2016","Retired","Male","Primary","Number","87504"
"Population Aged 15 Years and Over","2016","Retired","Male","Lower secondary","Number","38671"
"Population Aged 15 Years and Over","2016","Retired","Male","Upper secondary","Number","34953"
"Population Aged 15 Years and Over","2016","Retired","Male","Technical/vocational","Number","18124"
"Population Aged 15 Years and Over","2016","Retired","Male","Advanced certificate/completed apprenticeship","Number","10508"
"Population Aged 15 Years and Over","2016","Retired","Male","Higher certificate","Number","7056"
"Population Aged 15 Years and Over","2016","Retired","Male","Ordinary bachelor degree/professional qualification or both","Number","14890"
"Population Aged 15 Years and Over","2016","Retired","Male","Honours bachelor degree/professional qualification or both","Number","10819"
"Population Aged 15 Years and Over","2016","Retired","Male","Postgraduate diploma or degree","Number","11474"
"Population Aged 15 Years and Over","2016","Retired","Male","Doctorate (Ph.D.)","Number","2706"
"Population Aged 15 Years and Over","2016","Retired","Male","Not stated","Number","24532"
"Population Aged 15 Years and Over","2016","Retired","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Retired","Male","Economic status - other","Number","4556"
"Population Aged 15 Years and Over","2016","Retired","Female","Total education ceased and not ceased","Number","270171"
"Population Aged 15 Years and Over","2016","Retired","Female","No formal education","Number","7364"
"Population Aged 15 Years and Over","2016","Retired","Female","Primary","Number","68073"
"Population Aged 15 Years and Over","2016","Retired","Female","Lower secondary","Number","46621"
"Population Aged 15 Years and Over","2016","Retired","Female","Upper secondary","Number","47103"
"Population Aged 15 Years and Over","2016","Retired","Female","Technical/vocational","Number","14972"
"Population Aged 15 Years and Over","2016","Retired","Female","Advanced certificate/completed apprenticeship","Number","4686"
"Population Aged 15 Years and Over","2016","Retired","Female","Higher certificate","Number","8787"
"Population Aged 15 Years and Over","2016","Retired","Female","Ordinary bachelor degree/professional qualification or both","Number","19470"
"Population Aged 15 Years and Over","2016","Retired","Female","Honours bachelor degree/professional qualification or both","Number","10652"
"Population Aged 15 Years and Over","2016","Retired","Female","Postgraduate diploma or degree","Number","12252"
"Population Aged 15 Years and Over","2016","Retired","Female","Doctorate (Ph.D.)","Number","954"
"Population Aged 15 Years and Over","2016","Retired","Female","Not stated","Number","24902"
"Population Aged 15 Years and Over","2016","Retired","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Retired","Female","Economic status - other","Number","4335"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Total education ceased and not ceased","Number","158348"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","No formal education","Number","13973"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Primary","Number","32736"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Lower secondary","Number","36516"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Upper secondary","Number","23757"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Technical/vocational","Number","11201"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Advanced certificate/completed apprenticeship","Number","5273"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Higher certificate","Number","3922"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","4395"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Honours bachelor degree/professional qualification or both","Number","3320"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Postgraduate diploma or degree","Number","2299"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Doctorate (Ph.D.)","Number","235"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Not stated","Number","10526"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Both sexes","Economic status - other","Number","10195"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Total education ceased and not ceased","Number","78396"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","No formal education","Number","7793"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Primary","Number","16928"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Lower secondary","Number","19079"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Upper secondary","Number","9966"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Technical/vocational","Number","5055"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Advanced certificate/completed apprenticeship","Number","3223"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Higher certificate","Number","1485"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Ordinary bachelor degree/professional qualification or both","Number","1571"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Honours bachelor degree/professional qualification or both","Number","1304"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Postgraduate diploma or degree","Number","803"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Doctorate (Ph.D.)","Number","134"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Not stated","Number","5787"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Male","Economic status - other","Number","5268"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Total education ceased and not ceased","Number","79952"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","No formal education","Number","6180"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Primary","Number","15808"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Lower secondary","Number","17437"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Upper secondary","Number","13791"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Technical/vocational","Number","6146"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Advanced certificate/completed apprenticeship","Number","2050"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Higher certificate","Number","2437"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Ordinary bachelor degree/professional qualification or both","Number","2824"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Honours bachelor degree/professional qualification or both","Number","2016"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Postgraduate diploma or degree","Number","1496"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Doctorate (Ph.D.)","Number","101"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Not stated","Number","4739"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Unable to work due to permanent sickness or disability","Female","Economic status - other","Number","4927"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Total education ceased and not ceased","Number","14837"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","No formal education","Number","547"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Primary","Number","1590"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Lower secondary","Number","2391"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Upper secondary","Number","2373"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Technical/vocational","Number","1042"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Advanced certificate/completed apprenticeship","Number","526"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Higher certificate","Number","531"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","867"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Honours bachelor degree/professional qualification or both","Number","789"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Postgraduate diploma or degree","Number","834"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Doctorate (Ph.D.)","Number","78"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Not stated","Number","1165"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Others not in labour force","Both sexes","Economic status - other","Number","2104"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Total education ceased and not ceased","Number","6812"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","No formal education","Number","318"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Primary","Number","731"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Lower secondary","Number","1206"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Upper secondary","Number","924"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Technical/vocational","Number","388"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Advanced certificate/completed apprenticeship","Number","285"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Higher certificate","Number","185"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Ordinary bachelor degree/professional qualification or both","Number","308"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Honours bachelor degree/professional qualification or both","Number","258"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Postgraduate diploma or degree","Number","261"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Doctorate (Ph.D.)","Number","44"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Not stated","Number","746"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Others not in labour force","Male","Economic status - other","Number","1158"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Total education ceased and not ceased","Number","8025"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","No formal education","Number","229"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Primary","Number","859"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Lower secondary","Number","1185"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Upper secondary","Number","1449"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Technical/vocational","Number","654"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Advanced certificate/completed apprenticeship","Number","241"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Higher certificate","Number","346"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Ordinary bachelor degree/professional qualification or both","Number","559"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Honours bachelor degree/professional qualification or both","Number","531"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Postgraduate diploma or degree","Number","573"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Doctorate (Ph.D.)","Number","34"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Not stated","Number","419"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2016","Others not in labour force","Female","Economic status - other","Number","946"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Total education ceased and not ceased","Number","4136852"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","No formal education","Number","81280"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Primary","Number","251219"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Lower secondary","Number","446007"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Upper secondary","Number","613478"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Technical/vocational","Number","253892"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Advanced certificate/completed apprenticeship","Number","190268"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Higher certificate","Number","187488"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","272535"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Honours bachelor degree/professional qualification or both","Number","450523"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Postgraduate diploma or degree","Number","379416"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Doctorate (Ph.D.)","Number","38212"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Not stated","Number","220311"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Economic status - total at school, university, etc.","Number","459275"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Both sexes","Economic status - other","Number","292948"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Total education ceased and not ceased","Number","2026557"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","No formal education","Number","45375"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Primary","Number","132509"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Lower secondary","Number","245070"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Upper secondary","Number","296633"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Technical/vocational","Number","113188"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Advanced certificate/completed apprenticeship","Number","127470"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Higher certificate","Number","78197"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Ordinary bachelor degree/professional qualification or both","Number","125382"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Honours bachelor degree/professional qualification or both","Number","200856"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Postgraduate diploma or degree","Number","160865"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Doctorate (Ph.D.)","Number","20178"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Not stated","Number","113325"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Economic status - total at school, university, etc.","Number","221871"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Male","Economic status - other","Number","145638"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Total education ceased and not ceased","Number","2110295"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","No formal education","Number","35905"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Primary","Number","118710"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Lower secondary","Number","200937"
