"Statistic Label","CensusYear","Age Group","Principal Economic Status","Sex","Detailed Marital Status","UNIT","VALUE"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Single","Number","3407"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Registered same-sex civil partnership","Number","1"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Married (first marriage)","Number","48"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Re-married","Number","0"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Separated","Number","8"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Divorced","Number","2"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Male","Widowed","Number","5"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","All marital status","Number","2302"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Single","Number","2238"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Married (first marriage)","Number","49"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Re-married","Number","0"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Separated","Number","6"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Divorced","Number","3"
"Population Aged 15 Years and Over","2016","15 - 24 years","Unable to work due to permanent sickness or disability","Female","Widowed","Number","6"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","All marital status","Number","1975"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Single","Number","1821"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Registered same-sex civil partnership","Number","2"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Married (first marriage)","Number","111"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Re-married","Number","4"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Separated","Number","29"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Divorced","Number","2"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Both sexes","Widowed","Number","6"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","All marital status","Number","1264"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Single","Number","1157"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Registered same-sex civil partnership","Number","2"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Married (first marriage)","Number","71"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Re-married","Number","3"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Separated","Number","26"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Divorced","Number","2"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Male","Widowed","Number","3"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","All marital status","Number","711"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Single","Number","664"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Married (first marriage)","Number","40"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Re-married","Number","1"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Separated","Number","3"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Divorced","Number","0"
"Population Aged 15 Years and Over","2016","15 - 24 years","Others not in labour force","Female","Widowed","Number","3"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","All marital status","Number","659410"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Single","Number","456120"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Registered same-sex civil partnership","Number","1031"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Married (first marriage)","Number","188224"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Re-married","Number","1596"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Separated","Number","6512"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Divorced","Number","4562"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Both sexes","Widowed","Number","1365"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","All marital status","Number","318401"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Single","Number","233474"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Registered same-sex civil partnership","Number","688"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Married (first marriage)","Number","79331"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Re-married","Number","578"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Separated","Number","2191"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Divorced","Number","1639"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Male","Widowed","Number","500"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","All marital status","Number","341009"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Single","Number","222646"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Registered same-sex civil partnership","Number","343"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Married (first marriage)","Number","108893"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Re-married","Number","1018"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Separated","Number","4321"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Divorced","Number","2923"
"Population Aged 15 Years and Over","2016","25 - 34 years","All persons aged 15 years and over","Female","Widowed","Number","865"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","All marital status","Number","496255"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Single","Number","339499"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Registered same-sex civil partnership","Number","814"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Married (first marriage)","Number","146831"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Re-married","Number","1058"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Separated","Number","4073"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Divorced","Number","3266"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Both sexes","Widowed","Number","714"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","All marital status","Number","249137"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Single","Number","175448"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Registered same-sex civil partnership","Number","566"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Married (first marriage)","Number","69471"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Re-married","Number","482"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Separated","Number","1547"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Divorced","Number","1302"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Male","Widowed","Number","321"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","All marital status","Number","247118"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Single","Number","164051"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Registered same-sex civil partnership","Number","248"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Married (first marriage)","Number","77360"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Re-married","Number","576"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Separated","Number","2526"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Divorced","Number","1964"
"Population Aged 15 Years and Over","2016","25 - 34 years","Persons at work","Female","Widowed","Number","393"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","All marital status","Number","8703"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Single","Number","6853"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Registered same-sex civil partnership","Number","16"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Married (first marriage)","Number","1614"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Re-married","Number","27"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Separated","Number","103"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Divorced","Number","76"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Both sexes","Widowed","Number","14"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","All marital status","Number","4705"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Single","Number","4017"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Registered same-sex civil partnership","Number","9"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Married (first marriage)","Number","604"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Re-married","Number","7"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Separated","Number","42"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Divorced","Number","22"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Male","Widowed","Number","4"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","All marital status","Number","3998"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Single","Number","2836"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Registered same-sex civil partnership","Number","7"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Married (first marriage)","Number","1010"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Re-married","Number","20"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Separated","Number","61"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Divorced","Number","54"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed looking for first regular job","Female","Widowed","Number","10"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","All marital status","Number","65246"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Single","Number","49161"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Registered same-sex civil partnership","Number","99"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Married (first marriage)","Number","14215"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Re-married","Number","177"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Separated","Number","949"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Divorced","Number","533"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Both sexes","Widowed","Number","112"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","All marital status","Number","35875"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Single","Number","29596"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Registered same-sex civil partnership","Number","61"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Married (first marriage)","Number","5592"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Re-married","Number","53"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Separated","Number","350"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Divorced","Number","183"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Male","Widowed","Number","40"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","All marital status","Number","29371"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Single","Number","19565"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Registered same-sex civil partnership","Number","38"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Married (first marriage)","Number","8623"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Re-married","Number","124"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Separated","Number","599"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Divorced","Number","350"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unemployed having lost or given up previous job","Female","Widowed","Number","72"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","All marital status","Number","33806"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Single","Number","29519"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Registered same-sex civil partnership","Number","41"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Married (first marriage)","Number","3701"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Re-married","Number","46"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Separated","Number","259"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Divorced","Number","203"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Both sexes","Widowed","Number","37"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","All marital status","Number","16860"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Single","Number","15209"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Registered same-sex civil partnership","Number","28"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Married (first marriage)","Number","1484"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Re-married","Number","14"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Separated","Number","62"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Divorced","Number","51"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Male","Widowed","Number","12"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","All marital status","Number","16946"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Single","Number","14310"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Registered same-sex civil partnership","Number","13"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Married (first marriage)","Number","2217"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Re-married","Number","32"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Separated","Number","197"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Divorced","Number","152"
"Population Aged 15 Years and Over","2016","25 - 34 years","Student or pupil","Female","Widowed","Number","25"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","All marital status","Number","38208"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Single","Number","17653"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Registered same-sex civil partnership","Number","31"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Married (first marriage)","Number","19009"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Re-married","Number","247"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Separated","Number","775"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Divorced","Number","334"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Both sexes","Widowed","Number","159"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","All marital status","Number","2370"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Single","Number","1334"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Registered same-sex civil partnership","Number","5"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Married (first marriage)","Number","972"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Re-married","Number","9"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Separated","Number","22"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Divorced","Number","15"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Male","Widowed","Number","13"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","All marital status","Number","35838"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Single","Number","16319"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Registered same-sex civil partnership","Number","26"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Married (first marriage)","Number","18037"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Re-married","Number","238"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Separated","Number","753"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Divorced","Number","319"
"Population Aged 15 Years and Over","2016","25 - 34 years","Looking after home/family","Female","Widowed","Number","146"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","All marital status","Number","1182"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Single","Number","642"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Registered same-sex civil partnership","Number","2"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Married (first marriage)","Number","178"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Re-married","Number","7"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Separated","Number","63"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Divorced","Number","33"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Both sexes","Widowed","Number","257"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","All marital status","Number","602"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Single","Number","371"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Registered same-sex civil partnership","Number","2"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Married (first marriage)","Number","90"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Re-married","Number","2"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Separated","Number","38"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Divorced","Number","19"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Male","Widowed","Number","80"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","All marital status","Number","580"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Single","Number","271"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Married (first marriage)","Number","88"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Re-married","Number","5"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Separated","Number","25"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Divorced","Number","14"
"Population Aged 15 Years and Over","2016","25 - 34 years","Retired","Female","Widowed","Number","177"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","All marital status","Number","13264"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Single","Number","10766"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Registered same-sex civil partnership","Number","21"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Married (first marriage)","Number","2076"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Re-married","Number","28"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Separated","Number","222"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Divorced","Number","90"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Both sexes","Widowed","Number","61"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","All marital status","Number","7308"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Single","Number","6246"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Registered same-sex civil partnership","Number","10"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Married (first marriage)","Number","895"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Re-married","Number","10"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Separated","Number","89"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Divorced","Number","34"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Male","Widowed","Number","24"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","All marital status","Number","5956"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Single","Number","4520"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Registered same-sex civil partnership","Number","11"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Married (first marriage)","Number","1181"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Re-married","Number","18"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Separated","Number","133"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Divorced","Number","56"
"Population Aged 15 Years and Over","2016","25 - 34 years","Unable to work due to permanent sickness or disability","Female","Widowed","Number","37"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","All marital status","Number","2746"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Single","Number","2027"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Registered same-sex civil partnership","Number","7"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Married (first marriage)","Number","600"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Re-married","Number","6"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Separated","Number","68"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Divorced","Number","27"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Both sexes","Widowed","Number","11"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","All marital status","Number","1544"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Single","Number","1253"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Registered same-sex civil partnership","Number","7"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Married (first marriage)","Number","223"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Re-married","Number","1"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Separated","Number","41"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Divorced","Number","13"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Male","Widowed","Number","6"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","All marital status","Number","1202"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Single","Number","774"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Married (first marriage)","Number","377"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Re-married","Number","5"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Separated","Number","27"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Divorced","Number","14"
"Population Aged 15 Years and Over","2016","25 - 34 years","Others not in labour force","Female","Widowed","Number","5"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","All marital status","Number","746881"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Single","Number","244495"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Registered same-sex civil partnership","Number","1263"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Married (first marriage)","Number","445321"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Re-married","Number","9845"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Separated","Number","24244"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Divorced","Number","17824"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Both sexes","Widowed","Number","3889"
"Population Aged 15 Years and Over","2016","35 - 44 years","All persons aged 15 years and over","Male","All marital status","Number","368527"
